EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 1 / Conta: 99999999
Extrato gerado em 02/09/2026 - as 14:27:10

Extrato de 04/07/2026 a 02/09/2026


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
05/07/2026,06/07/2026,Pix enviado para Pessoa Teste 1,observacao de teste,0.00,120.00,1007.11
06/07/2026,06/07/2026,Pix enviado para Pessoa Teste 2,TRANSF ENVIADA PIX,0.00,260.34,1007.11
07/07/2026,07/07/2026,Pix enviado para Pessoa Teste 3,TRANSF ENVIADA PIX,0.00,150.00,687.11
07/07/2026,07/07/2026,Pix enviado para Pessoa Teste 1,observacao de teste,0.00,120.00,687.11
07/07/2026,07/07/2026,Pix enviado para Pessoa Teste 4,observacao de teste,0.00,50.00,687.11
08/07/2026,08/07/2026,Pix enviado para Pessoa Teste 5,TRANSF ENVIADA PIX,0.00,215.00,472.11
09/07/2026,09/07/2026,Pix enviado para Pessoa Teste 6,TRANSF ENVIADA PIX,0.00,150.00,3286.51
09/07/2026,09/07/2026,Pix enviado para Pessoa Teste 7,TRANSF ENVIADA PIX,0.00,26.00,3286.51
09/07/2026,09/07/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,2990.40,0.00,3286.51
10/07/2026,10/07/2026,Pix recebido c6 de Empresa Teste 1 LTDA,Pix recebido c6 de Empresa Teste 1 LTDA,24867.68,0.00,3147.23
10/07/2026,10/07/2026,BANCO C6 S.A.,Boleto,0.00,12164.10,3147.23
10/07/2026,10/07/2026,Empresa Teste 2 LTDA,Boleto,0.00,550.72,3147.23
10/07/2026,10/07/2026,Empresa Teste 3 LTDA,Boleto,0.00,2433.97,3147.23
10/07/2026,10/07/2026,Empresa Teste 4 LTDA,Boleto,0.00,504.30,3147.23
10/07/2026,10/07/2026,Empresa Teste 5 LTDA,Boleto,0.00,2356.51,3147.23
10/07/2026,10/07/2026,Empresa Teste 3 LTDA,Boleto,0.00,2433.97,3147.23
10/07/2026,10/07/2026,Empresa Teste 6 LTDA,Boleto,0.00,243.39,3147.23
10/07/2026,10/07/2026,Pix enviado para Pessoa Teste 8,TRANSF ENVIADA PIX,0.00,2000.00,3147.23
10/07/2026,10/07/2026,Pix enviado para Pessoa Teste 9,TRANSF ENVIADA PIX,0.00,320.00,3147.23
10/07/2026,10/07/2026,Pix enviado para Pessoa Teste 10,TRANSF ENVIADA PIX,0.00,2000.00,3147.23
11/07/2026,13/07/2026,Pix enviado para Pessoa Teste 11,TRANSF ENVIADA PIX,0.00,80.00,2514.38
11/07/2026,13/07/2026,Pix enviado para Pessoa Teste 12,TRANSF ENVIADA PIX,0.00,292.85,2514.38
12/07/2026,13/07/2026,Pix enviado para Pessoa Teste 13,TRANSF ENVIADA PIX,0.00,135.00,2514.38
13/07/2026,13/07/2026,Pix enviado para Pessoa Teste 3,TRANSF ENVIADA PIX,0.00,125.00,2514.38
15/07/2026,15/07/2026,Pix recebido de Pessoa Teste 14,Pix recebido de Pessoa Teste 14,10884.79,0.00,5171.89
15/07/2026,15/07/2026,Pix enviado para Pessoa Teste 15,TRANSF ENVIADA PIX,0.00,178.31,5171.89
15/07/2026,15/07/2026,Empresa Teste 7 LTDA,Empresa Teste 7 LTDA,0.00,240.24,5171.89
15/07/2026,15/07/2026,Pix enviado para Pessoa Teste 16,TRANSF ENVIADA PIX,0.00,106.71,5171.89
