Data de Compra;Nome no Cartão;Final do Cartão;Categoria;Descrição;Parcela;Valor (em US$);Cotação (em R$);Valor (em R$)
14/01/2025;Titular Teste 1;1000;Casa / Escritório Mobiliário;LOJA DE FERRAGENS TESTE;7/8;0;0;640.00
26/11/2025;Titular Teste 1;1000;Recreativo;PADARIA FORNO CENTRAL;8/12;0;0;412.75
10/06/2026;Titular Teste 1;1001;Departamento / Desconto;LOJA ESPACO TESTE;2/3;0;0;86.59
01/07/2026;Titular Teste 1;1000;Serviços Profissionais;ASSINATURA NUVEM TESTE;Única;0;0;19.90
05/07/2026;Titular Teste 1;1000;Serviços Profissionais;PLATAFORMA IA TESTE  SA;Única;50.00;5.4000;270.00
06/08/2026;Titular Teste 1;1001;Marketing Direto;SHOPEE *VENDEDORTESTE;Única;0;0;60.74
07/06/2026;Titular Teste 1;1002;Departamento / Desconto;ASA*CLINICA MODELO;Única;0;0;348.50
08/07/2026;Titular Teste 2;1003;Relacionados a Automotivo;MERCADOTESTE*MERCADOT;Única;0;0;192.63
09/08/2026;Titular Teste 1;1000;Casa / Escritório Mobiliário;DROGARIA ZETA1234;3/6;0;0;428.69
10/06/2026;Titular Teste 1;1001;Saúde;223 MERCEARIA ZZ 99887766;Única;0;0;182.09
11/07/2026;Titular Teste 1;1002;Recreativo;BAZAR DAS FLORES   BELO HORIZONTE   BRA;Única;0;0;141.79
12/08/2026;Titular Teste 2;1003;Educacional;CINE ESTRELA   DIVINOPOLIS   BRA;Única;0;0;137.52
13/06/2026;Titular Teste 1;1000;Alimentação;POSTO ALFA;1/4;0;0;261.84
14/07/2026;Titular Teste 1;1001;Associação;ACADEMIA BETA;Única;0;0;92.24
15/08/2026;Titular Teste 1;1002;Serviços Profissionais;SUPERMERCADO GAMA;Única;0;0;444.67
16/06/2026;Titular Teste 2;1003;Marketing Direto;PIZZARIA DELTA;Única;0;0;84.76
17/07/2026;Titular Teste 1;1000;Departamento / Desconto;LIVRARIA EPSILON;5/8;0;0;176.02
18/08/2026;Titular Teste 1;1001;Relacionados a Automotivo;OFICINA ZETA;Única;0;0;387.48
19/06/2026;Titular Teste 1;1002;Casa / Escritório Mobiliário;PET SHOP ETA;Única;0;0;63.00
20/07/2026;Titular Teste 2;1003;Saúde;SORVETERIA THETA;Única;0;0;441.47
21/08/2026;Titular Teste 1;1000;Recreativo;FLORICULTURA IOTA;3/6;0;0;279.51
22/06/2026;Titular Teste 1;1001;Educacional;PAPELARIA KAPPA;Única;0;0;390.01
23/07/2026;Titular Teste 1;1002;Alimentação;BARBEARIA LAMBDA;Única;0;0;159.12
24/08/2026;Titular Teste 2;1003;Associação;CAFETERIA MI;Única;0;0;54.82
25/06/2026;Titular Teste 1;1000;Serviços Profissionais;HORTIFRUTI NI;1/4;0;0;210.80
26/07/2026;Titular Teste 1;1001;Marketing Direto;LANCHONETE XI;Única;0;0;192.20
27/08/2026;Titular Teste 1;1002;Departamento / Desconto;SAPATARIA OMICRON;Única;0;0;59.88
28/06/2026;Titular Teste 2;1003;Relacionados a Automotivo;BRINQUEDOS PI;Única;0;0;189.98
01/07/2026;Titular Teste 1;1000;Casa / Escritório Mobiliário;RESTAURANTE RHO;5/8;0;0;205.82
02/08/2026;Titular Teste 1;1001;Saúde;MERCEARIA SIGMA;Única;0;0;445.58
03/06/2026;Titular Teste 1;1002;Recreativo;CLINICA TAU;Única;0;0;51.36
04/07/2026;Titular Teste 2;1003;Educacional;OTICA UPSILON;Única;0;0;13.42
05/08/2026;Titular Teste 1;1000;Alimentação;PERFUMARIA PHI;3/6;0;0;387.32
06/06/2026;Titular Teste 1;1001;Associação;MARMITARIA CHI;Única;0;0;454.06
07/07/2026;Titular Teste 1;1002;Serviços Profissionais;CONVENIENCIA PSI;Única;0;0;127.68
08/08/2026;Titular Teste 2;1003;Marketing Direto;ESTUDIO OMEGA;Única;0;0;305.52
09/06/2026;Titular Teste 1;1000;Departamento / Desconto;TRANSPORTE URBANO TESTE;1/4;0;0;108.40
10/07/2026;Titular Teste 1;1001;Relacionados a Automotivo;TELEFONIA TESTE;Única;0;0;108.86
11/08/2026;Titular Teste 1;1002;Casa / Escritório Mobiliário;ENERGIA TESTE;Única;0;0;314.48
12/06/2026;Titular Teste 2;1003;Saúde;AGUA TESTE;Única;0;0;399.96
13/07/2026;Titular Teste 1;1000;Recreativo;SEGURADORA TESTE;5/8;0;0;189.97
14/08/2026;Titular Teste 1;1001;Educacional;ASSINATURA MUSICA TESTE;Única;0;0;182.16
15/06/2026;Titular Teste 1;1002;Alimentação;ASSINATURA VIDEO TESTE;Única;0;0;10.25
16/07/2026;Titular Teste 2;1003;Associação;LOJA DE FERRAGENS TESTE;Única;0;0;346.76
17/08/2026;Titular Teste 1;1000;Serviços Profissionais;MATERIAL ESCOLAR TESTE;3/6;0;0;477.02
18/06/2026;Titular Teste 1;1001;Marketing Direto;PRESENTES TESTE;Única;0;0;480.17
19/07/2026;Titular Teste 1;1002;Departamento / Desconto;CHAVEIRO TESTE;Única;0;0;175.81
20/08/2026;Titular Teste 2;1003;Relacionados a Automotivo;MANUTENCAO TESTE;Única;0;0;360.43
21/06/2026;Titular Teste 1;1000;Casa / Escritório Mobiliário;PADARIA FORNO CENTRAL;1/4;0;0;272.79
22/07/2026;Titular Teste 1;1001;Saúde;PG *ESCOLA MODELO;Única;0;0;270.74
23/08/2026;Titular Teste 1;1002;Recreativo;DM*NUVEMHOSTTESTE;Única;0;0;202.06
24/06/2026;Titular Teste 2;1003;Educacional;MP *ATACADO FICTICIO;Única;0;0;268.16
25/07/2026;Titular Teste 1;1000;Alimentação;B91*QUIOSQUE TESTE;5/8;0;0;484.28
26/08/2026;Titular Teste 1;1001;Associação;SHOPEE *VENDEDORTESTE;Única;0;0;285.07
27/06/2026;Titular Teste 1;1002;Serviços Profissionais;ASA*CLINICA MODELO;Única;0;0;49.18
28/07/2026;Titular Teste 2;1003;Marketing Direto;MERCADOTESTE*MERCADOT;Única;0;0;121.68
01/08/2026;Titular Teste 1;1000;Departamento / Desconto;DROGARIA ZETA1234;3/6;0;0;163.97
02/06/2026;Titular Teste 1;1001;Relacionados a Automotivo;223 MERCEARIA ZZ 99887766;Única;0;0;196.85
03/07/2026;Titular Teste 1;1002;Casa / Escritório Mobiliário;BAZAR DAS FLORES   BELO HORIZONTE   BRA;Única;0;0;256.57
04/08/2026;Titular Teste 2;1003;Saúde;CINE ESTRELA   DIVINOPOLIS   BRA;Única;0;0;92.79
05/06/2026;Titular Teste 1;1000;Recreativo;POSTO ALFA;1/4;0;0;174.80
06/07/2026;Titular Teste 1;1001;Educacional;ACADEMIA BETA;Única;0;0;59.88
07/08/2026;Titular Teste 1;1002;Alimentação;SUPERMERCADO GAMA;Única;0;0;246.17
08/06/2026;Titular Teste 2;1003;Associação;PIZZARIA DELTA;Única;0;0;83.92
09/07/2026;Titular Teste 1;1000;Serviços Profissionais;LIVRARIA EPSILON;5/8;0;0;363.29
10/08/2026;Titular Teste 1;1001;Marketing Direto;OFICINA ZETA;Única;0;0;419.46
11/06/2026;Titular Teste 1;1002;Departamento / Desconto;PET SHOP ETA;Única;0;0;410.64
12/07/2026;Titular Teste 2;1003;Relacionados a Automotivo;SORVETERIA THETA;Única;0;0;200.66
13/08/2026;Titular Teste 1;1000;Casa / Escritório Mobiliário;FLORICULTURA IOTA;3/6;0;0;462.59
14/06/2026;Titular Teste 1;1001;Saúde;PAPELARIA KAPPA;Única;0;0;318.29
15/07/2026;Titular Teste 1;1002;Recreativo;BARBEARIA LAMBDA;Única;0;0;213.54
16/08/2026;Titular Teste 2;1003;Educacional;CAFETERIA MI;Única;0;0;277.92
17/06/2026;Titular Teste 1;1000;Alimentação;HORTIFRUTI NI;1/4;0;0;84.19
18/07/2026;Titular Teste 1;1001;Associação;LANCHONETE XI;Única;0;0;348.00
19/08/2026;Titular Teste 1;1002;Serviços Profissionais;SAPATARIA OMICRON;Única;0;0;196.19
20/06/2026;Titular Teste 2;1003;Marketing Direto;BRINQUEDOS PI;Única;0;0;347.02
21/07/2026;Titular Teste 1;1000;Departamento / Desconto;RESTAURANTE RHO;5/8;0;0;456.20
22/08/2026;Titular Teste 1;1001;Relacionados a Automotivo;MERCEARIA SIGMA;Única;0;0;184.70
23/06/2026;Titular Teste 1;1002;Casa / Escritório Mobiliário;CLINICA TAU;Única;0;0;466.03
24/07/2026;Titular Teste 2;1003;Saúde;OTICA UPSILON;Única;0;0;12.24
25/08/2026;Titular Teste 1;1000;Recreativo;PERFUMARIA PHI;3/6;0;0;333.92
26/06/2026;Titular Teste 1;1001;Educacional;MARMITARIA CHI;Única;0;0;28.58
27/07/2026;Titular Teste 1;1002;Alimentação;CONVENIENCIA PSI;Única;0;0;92.81
28/08/2026;Titular Teste 2;1003;Associação;ESTUDIO OMEGA;Única;0;0;8.33
01/06/2026;Titular Teste 1;1000;Serviços Profissionais;TRANSPORTE URBANO TESTE;1/4;0;0;456.11
02/07/2026;Titular Teste 1;1001;Marketing Direto;TELEFONIA TESTE;Única;0;0;367.20
03/08/2026;Titular Teste 1;1002;Departamento / Desconto;ENERGIA TESTE;Única;0;0;379.92
04/06/2026;Titular Teste 2;1003;Relacionados a Automotivo;AGUA TESTE;Única;0;0;478.00
05/07/2026;Titular Teste 1;1000;Casa / Escritório Mobiliário;SEGURADORA TESTE;5/8;0;0;316.39
06/08/2026;Titular Teste 1;1001;Saúde;ASSINATURA MUSICA TESTE;Única;0;0;136.53
07/06/2026;Titular Teste 1;1002;Recreativo;ASSINATURA VIDEO TESTE;Única;0;0;313.68
08/07/2026;Titular Teste 2;1003;Educacional;LOJA DE FERRAGENS TESTE;Única;0;0;42.17
09/08/2026;Titular Teste 1;1000;Alimentação;MATERIAL ESCOLAR TESTE;3/6;0;0;376.40
10/06/2026;Titular Teste 1;1001;Associação;PRESENTES TESTE;Única;0;0;49.49
11/07/2026;Titular Teste 1;1002;Serviços Profissionais;CHAVEIRO TESTE;Única;0;0;389.73
12/08/2026;Titular Teste 2;1003;Marketing Direto;MANUTENCAO TESTE;Única;0;0;127.34
15/08/2026;Titular Teste 1;1000;Pagamentos;Pag Fatura Boleto;Única;0;0;-9500.00
20/07/2026;Titular Teste 1;1000;Tarifas;Estorno Tarifa;Única;0;0;-75.00
